Year,HouseHoldID,communityID,has_running_water,inhouse_shower_Bath,cooking_fuel_source,province,city,urban_nbs
2015,0104462040,0104462,1 Yes,3.0,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462150,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462340,0104462,1 Yes,3.0,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104462220,0104462,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461050,0104461,1 Yes,2 Water Heater Installed by The Household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461280,0104461,1 Yes,3.0,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461270,0104461,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461100,0104461,1 Yes,2 Water Heater Installed by The Household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461030,0104461,2 No,3.0,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461120,0104461,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461230,0104461,1 Yes,2 Water Heater Installed by The Household,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461040,0104461,1 Yes,3.0,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461140,0104461,1 Yes,3.0,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461150,0104461,1 Yes,3.0,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461160,0104461,1 Yes,3.0,5 Electric,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
2015,0104461180,0104461,1 Yes,2 Water Heater Installed by The Household,6 Crop Residue/Wood Burning,ÔÆÄÏÊ¡,ÕÑÍ¨ÊÐ,Urban
